threshold,precision,recall,f1
0.05,0.527,1.0,0.6903
0.055,0.5288,1.0,0.6918
0.06,0.5306,1.0,0.6933
0.065,0.5306,1.0,0.6933
0.07,0.5306,1.0,0.6933
0.075,0.5324,1.0,0.6949
0.08,0.5342,1.0,0.6964
0.085,0.5363,0.9936,0.6966
0.09,0.5382,0.9936,0.6982
0.095,0.5366,0.9872,0.6953
0.1,0.5385,0.9872,0.6968
0.105,0.5404,0.9872,0.6984
0.11,0.5404,0.9872,0.6984
0.115,0.5404,0.9872,0.6984
0.12,0.5423,0.9872,0.7
0.125,0.5442,0.9872,0.7016
0.13,0.5442,0.9872,0.7016
0.135,0.5461,0.9872,0.7032
0.14,0.5461,0.9872,0.7032
0.145,0.55,0.9872,0.7064
0.15,0.552,0.9872,0.708
0.155,0.552,0.9872,0.708
0.16,0.5523,0.9808,0.7067
0.165,0.5543,0.9808,0.7083
0.17,0.5625,0.9808,0.715
0.175,0.5667,0.9808,0.7183
0.18,0.5651,0.9744,0.7153
0.185,0.5714,0.9744,0.7204
0.19,0.5736,0.9744,0.7221
0.195,0.5779,0.9744,0.7255
0.2,0.5763,0.9679,0.7225
0.205,0.5785,0.9679,0.7242
0.21,0.5837,0.9615,0.7264
0.215,0.5976,0.9615,0.7371
0.22,0.6008,0.9551,0.7376
0.225,0.6016,0.9487,0.7363
0.23,0.6049,0.9423,0.7368
0.235,0.6074,0.9423,0.7387
0.24,0.6125,0.9423,0.7424
0.245,0.6203,0.9423,0.7481
0.25,0.6229,0.9423,0.75
0.255,0.6282,0.9423,0.7538
0.26,0.6348,0.9359,0.7565
0.265,0.6404,0.9359,0.7604
0.27,0.6486,0.9231,0.7619
0.275,0.6516,0.9231,0.7639
0.28,0.6516,0.9231,0.7639
0.285,0.6516,0.9231,0.7639
0.29,0.6574,0.9103,0.7634
0.295,0.6589,0.9038,0.7622
0.3,0.6667,0.8974,0.765
0.305,0.6748,0.891,0.768
0.31,0.6765,0.8846,0.7667
0.315,0.6765,0.8846,0.7667
0.32,0.6816,0.8782,0.7675
0.325,0.685,0.8782,0.7697
0.33,0.6884,0.8782,0.7718
0.335,0.6919,0.8782,0.774
0.34,0.6904,0.8718,0.7705
0.345,0.6959,0.8654,0.7714
0.35,0.6959,0.8654,0.7714
0.355,0.6927,0.8526,0.7644
0.36,0.6911,0.8462,0.7608
0.365,0.7059,0.8462,0.7697
0.37,0.7174,0.8462,0.7765
0.375,0.7213,0.8462,0.7788
0.38,0.7198,0.8397,0.7751
0.385,0.7263,0.8333,0.7761
0.39,0.7273,0.8205,0.7711
0.395,0.7257,0.8141,0.7674
0.4,0.7368,0.8077,0.7706
0.405,0.747,0.7949,0.7702
0.41,0.7531,0.7821,0.7673
0.415,0.7625,0.7821,0.7722
0.42,0.7673,0.7821,0.7746
0.425,0.7673,0.7821,0.7746
0.43,0.7722,0.7821,0.7771
0.435,0.7742,0.7692,0.7717
0.44,0.7778,0.7628,0.7702
0.445,0.7733,0.7436,0.7582
0.45,0.774,0.7244,0.7483
0.455,0.774,0.7244,0.7483
0.46,0.7887,0.7179,0.7517
0.465,0.7872,0.7115,0.7475
0.47,0.7857,0.7051,0.7432
0.475,0.7842,0.6987,0.739
0.48,0.791,0.6795,0.731
0.485,0.7955,0.6731,0.7292
0.49,0.8015,0.6731,0.7317
0.495,0.8062,0.6667,0.7298
0.5,0.8031,0.6538,0.7208
0.505,0.8211,0.6474,0.724
0.51,0.825,0.6346,0.7174
0.515,0.819,0.609,0.6985
0.52,0.8304,0.5962,0.694
0.525,0.8273,0.5833,0.6842
0.53,0.8241,0.5705,0.6742
0.535,0.8224,0.5641,0.6692
0.54,0.8173,0.5449,0.6538
0.545,0.8155,0.5385,0.6486
0.55,0.8119,0.5256,0.6381
0.555,0.8144,0.5064,0.6245
0.56,0.8065,0.4808,0.6024
0.565,0.8132,0.4744,0.5992
0.57,0.8256,0.4551,0.5868
0.575,0.8313,0.4423,0.5774
0.58,0.8293,0.4359,0.5714
0.585,0.8228,0.4167,0.5532
0.59,0.8378,0.3974,0.5391
0.595,0.8472,0.391,0.5351
0.6,0.8451,0.3846,0.5286
0.605,0.8429,0.3782,0.5221
0.61,0.8429,0.3782,0.5221
0.615,0.8406,0.3718,0.5156
0.62,0.8382,0.3654,0.5089
0.625,0.8358,0.359,0.5022
0.63,0.8387,0.3333,0.4771
0.635,0.8621,0.3205,0.4673
